schema_version	1
contract_id	B4-RUST-FREE-FULL-LANGUAGE
id	area	fixture	owner	artifact	status
B4-FULL-001	lexer-parser	bootstrap/fixtures/b4/full_language_surface.zp	bootstrap/b1/parser.zp	canonical_ast	provisional
B4-FULL-002	expressions-control-flow	bootstrap/fixtures/typecheck/basic_type_matrix.zp	bootstrap/b2/typecheck.zp	typed_ir	provisional
B4-FULL-003	functions-closures	bootstrap/fixtures/typecheck/function.zp	bootstrap/b2/typed_ir.zp	typed_ir	provisional
B4-FULL-004	classes-methods	bootstrap/fixtures/typecheck/generic_class.zp	bootstrap/b3/lower.zp	bytecode	provisional
B4-FULL-005	collections-maps	bootstrap/fixtures/typecheck/collection_expression_map.zp	bootstrap/b3/lower.zp	bytecode	provisional
B4-FULL-006	aliases-generics	bootstrap/fixtures/typecheck/generic_compound_bounds.zp	bootstrap/b2/typecheck.zp	diagnostics	provisional
B4-FULL-007	result-option	bootstrap/fixtures/typecheck/expression_result_constructor.zp	bootstrap/b3/vm.zp	vm_result	provisional
B4-FULL-008	modules-imports	bootstrap/fixtures/typecheck/generic_cross_module.zp	bootstrap/b3/package.zp	module_graph	provisional
B4-FULL-009	async-runtime	bootstrap/fixtures/typecheck/flow_engine.zp	bootstrap/b3/vm.zp	vm_result	provisional
B4-FULL-010	diagnostics	bootstrap/fixtures/typecheck/function_incompatible.zp	bootstrap/b2/typecheck.zp	stable_diagnostic	provisional
B4-FULL-011	package-build	bootstrap/b3/package.zp	bootstrap/b3/package.zp	build_artifact	provisional
B4-FULL-012	test-runner	bootstrap/b4/runner.zp	bootstrap/b4/runner.zp	test_result	provisional
B4-FULL-013	cli-entrypoint	bootstrap/b4/native_independent.zp	bootstrap/b4/native_independent.zp	cli_result	provisional
B4-FULL-014	self-rebuild	bootstrap/fixtures/b4/full_language_surface.zp	bootstrap/b4/native_independent.zp	self_rebuild_bytes	provisional
B4-FULL-015	cross-platform-determinism	bootstrap/fixtures/b4/full_language_surface.zp	bootstrap/b4/native_independent.zp	platform_rebuild	provisional
